record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight
0,63,8,19,1977,3,DM,M,35.0,40.0
1,64,8,19,1977,7,DM,M,37.0,48.0
2,65,8,19,1977,4,DM,F,34.0,29.0
3,66,8,19,1977,4,DM,F,35.0,46.0
4,67,8,19,1977,7,DM,M,35.0,36.0
5,68,8,19,1977,8,DO,F,32.0,52.0
6,69,8,19,1977,2,PF,M,15.0,8.0
7,70,8,19,1977,3,OX,F,21.0,22.0
8,71,8,19,1977,7,DM,F,36.0,35.0
9,74,8,19,1977,8,PF,M,12.0,7.0
10,75,8,19,1977,8,DM,F,32.0,22.0
11,78,8,19,1977,1,PF,M,16.0,9.0
12,79,8,19,1977,7,DM,F,34.0,42.0
13,81,8,19,1977,4,PF,F,14.0,8.0
14,82,8,19,1977,4,DM,F,35.0,41.0
15,83,8,20,1977,6,DM,F,37.0,37.0
16,84,8,20,1977,19,DM,F,35.0,43.0
17,85,8,20,1977,23,DM,F,35.0,41.0
18,86,8,20,1977,18,DM,F,33.0,40.0
19,87,8,20,1977,5,PF,F,11.0,9.0
20,88,8,20,1977,18,DM,F,35.0,45.0
21,89,8,20,1977,12,PP,F,20.0,15.0
22,90,8,20,1977,18,DM,M,35.0,29.0
23,92,8,20,1977,6,DM,M,35.0,39.0
24,93,8,20,1977,18,DM,F,27.334412974478006,42.0
25,94,8,20,1977,18,DM,F,36.0,43.0
26,95,8,20,1977,23,DM,M,38.0,46.0
27,96,8,20,1977,12,DM,M,36.0,41.0
28,97,8,20,1977,18,DM,M,36.0,41.0
29,98,8,20,1977,5,DM,M,38.0,40.0
30,99,8,20,1977,11,DM,M,37.0,45.0
31,101,8,20,1977,5,DM,F,35.0,46.0
32,102,8,20,1977,23,DM,F,35.0,40.0
33,103,8,20,1977,18,DM,F,35.0,30.0
34,105,8,20,1977,19,DM,M,35.0,39.0
35,109,8,20,1977,6,DM,M,35.0,34.0
36,111,8,20,1977,11,DM,F,37.0,42.0
37,112,8,20,1977,23,DM,M,37.0,42.0
38,113,8,20,1977,5,PF,F,13.0,8.0
39,116,8,21,1977,13,DM,F,37.0,31.0
40,146,8,21,1977,13,DM,F,36.0,40.0
41,157,9,11,1977,20,DM,M,36.0,37.0
42,158,9,11,1977,22,DM,M,36.0,48.0
43,161,9,11,1977,5,DM,M,37.0,42.0
44,162,9,11,1977,6,DM,F,39.0,45.0
45,163,9,11,1977,12,PP,F,21.0,16.0
46,164,9,11,1977,22,DM,F,36.0,36.0
47,167,9,11,1977,6,DM,M,36.0,42.0
48,168,9,11,1977,12,DM,M,36.0,44.0
49,170,9,11,1977,20,DM,F,36.0,41.0
50,172,9,11,1977,22,PF,F,27.334412974478006,8.0
51,173,9,11,1977,12,DM,F,36.0,40.0
52,174,9,11,1977,12,DM,M,37.0,34.0
53,175,9,11,1977,19,DM,M,33.0,40.0
54,177,9,11,1977,5,OX,F,27.334412974478006,20.0
55,178,9,11,1977,18,DM,M,33.0,44.0
56,179,9,11,1977,12,DM,M,37.0,44.0
57,180,9,11,1977,6,DM,M,34.0,36.0
58,181,9,11,1977,20,DM,M,35.0,33.0
59,183,9,11,1977,5,DM,F,37.0,46.0
60,186,9,11,1977,19,DM,F,34.0,35.0
61,187,9,12,1977,17,DM,M,36.0,46.0
62,189,9,12,1977,17,DM,F,33.0,37.0
63,190,9,12,1977,7,DM,M,36.0,34.0
64,192,9,12,1977,4,DM,F,36.0,45.0
65,196,9,12,1977,7,PF,F,15.0,7.0
66,197,9,12,1977,14,DM,M,37.0,51.0
67,198,9,12,1977,4,DM,M,35.0,39.0
68,199,9,12,1977,11,DM,M,36.0,29.0
69,202,9,12,1977,17,DM,F,32.0,48.0
70,203,9,12,1977,11,DM,M,38.0,46.0
71,204,9,12,1977,16,DM,F,37.0,41.0
72,208,9,12,1977,14,DM,M,37.0,45.0
73,209,9,12,1977,17,DM,F,35.0,42.0
74,210,9,12,1977,11,DM,F,36.0,53.0
75,213,9,12,1977,14,DM,F,35.0,49.0
76,215,9,12,1977,14,DM,F,36.0,46.0
77,216,9,12,1977,4,PF,F,13.0,9.0
78,217,9,13,1977,3,PP,F,19.0,15.0
79,218,9,13,1977,1,PF,M,13.0,4.0
80,219,9,13,1977,13,DM,M,36.0,48.0
81,226,9,13,1977,2,DM,M,37.0,51.0
82,228,9,13,1977,9,DM,M,38.0,50.0
